# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
0.99259801	0.12243412	0.12334713	-1.00745718
0.99509801	0.12289791	0.12350332	-1.00492614
0.99759800	0.12336190	0.12365893	-1.00240778
1.00009800	0.12382609	0.12381396	-0.99990201
1.00259799	0.12429047	0.12396841	-0.99740874
1.00509799	0.12475505	0.12412227	-0.99492787
1.00759798	0.12521981	0.12427556	-0.99245931
1.01009798	0.12568475	0.12442828	-0.99000297
1.01259797	0.12614987	0.12458041	-0.98755876
1.01509797	0.12661518	0.12473198	-0.98512659
1.01759796	0.12708065	0.12488297	-0.98270637
1.02009796	0.12754630	0.12503339	-0.98029801
1.02259795	0.12801212	0.12518323	-0.97790143
1.02509795	0.12847810	0.12533251	-0.97551653
1.02759794	0.12894425	0.12548122	-0.97314325
1.03009794	0.12941055	0.12562936	-0.97078148
1.03259793	0.12987701	0.12577694	-0.96843114
1.03509793	0.13034362	0.12592395	-0.96609216
1.03759792	0.13081039	0.12607040	-0.96376446
1.04009792	0.13127730	0.12621629	-0.96144794
1.04259791	0.13174435	0.12636161	-0.95914253
1.04509791	0.13221155	0.12650638	-0.95684815
1.04759790	0.13267889	0.12665058	-0.95456472
1.05009790	0.13314636	0.12679423	-0.95229216
1.05259789	0.13361396	0.12693732	-0.95003040
1.05509789	0.13408169	0.12707986	-0.94777936
1.05759788	0.13454955	0.12722184	-0.94553896
1.06009788	0.13501753	0.12736327	-0.94330912
1.06259787	0.13548564	0.12750415	-0.94108978
1.06509787	0.13595386	0.12764447	-0.93888086
1.06759786	0.13642219	0.12778425	-0.93668228
1.07009786	0.13689064	0.12792348	-0.93449397
1.07259785	0.13735920	0.12806216	-0.93231587
1.07509785	0.13782786	0.12820030	-0.93014789
1.07759784	0.13829663	0.12833789	-0.92798998
1.08009784	0.13876550	0.12847493	-0.92584205
1.08259783	0.13923446	0.12861144	-0.92370405
1.08509783	0.13970352	0.12874740	-0.92157589
1.08759782	0.14017267	0.12888282	-0.91945752
1.09009782	0.14064192	0.12901770	-0.91734887
1.09259781	0.14111124	0.12915205	-0.91524986
1.09509781	0.14158066	0.12928585	-0.91316044
1.09759780	0.14205015	0.12941913	-0.91108054
