# Energia = 2.50078368
# x	psi(x)	V(x)
0.84000015	0.42652273	-0.17799461
0.88000011	0.45875347	-0.00583005
0.92000008	0.48730919	0.16156232
0.96000004	0.51222104	0.32368845
1.00000000	0.53356761	0.48015422
1.03999996	0.55146676	0.63065886
1.07999992	0.56606764	0.77498853
1.11999989	0.57754385	0.91300499
1.15999985	0.58608657	1.04463840
1.19999981	0.59189892	1.16987944
1.23999977	0.59519064	1.28877032
1.27999973	0.59617388	1.40139794
1.31999969	0.59505945	1.50788546
1.35999966	0.59205383	1.60838807
1.39999962	0.58735681	1.70308435
1.43999958	0.58115971	1.79217303
1.47999954	0.57364392	1.87586641
1.51999950	0.56498015	1.95438766
1.55999947	0.55532748	2.02796674
1.59999943	0.54483366	2.09683657
1.63999939	0.53363460	2.16123128
1.67999935	0.52185476	2.22138309
1.71999931	0.50960749	2.27752137
1.75999928	0.49699533	2.32987046
1.80000019	0.48411059	2.37864995
1.84000015	0.47103587	2.42406845
1.88000011	0.45784482	2.46633124
1.92000008	0.44473878	2.50563335
1.96000004	0.43163902	2.54216194
2.00000000	0.41859591	2.57609510
2.03999996	0.40565318	2.60760188
2.07999992	0.39284864	2.63684297
2.11999989	0.38021481	2.66397023
2.15999985	0.36777917	2.68912697
2.19999981	0.35556486	2.71244788
2.23999977	0.34359109	2.73406005
2.27999973	0.33187360	2.75408292
2.31999969	0.32042482	2.77262807
2.35999966	0.30925468	2.78980017
2.39999962	0.29837036	2.80569720
2.43999958	0.28777701	2.82041049
2.47999954	0.27747783	2.83402562
2.51999950	0.26747447	2.84662223
2.55999947	0.25776696	2.85827422
2.59999943	0.24835426	2.86905098
2.63999939	0.23923410	2.87901688
2.67999935	0.23040342	2.88823152
2.71999931	0.22185838	2.89675045
2.75999928	0.21359445	2.90462518
2.79999924	0.20560649	2.91190386
2.84000015	0.19788899	2.91863108
2.88000011	0.19043609	2.92484760
2.92000008	0.18324159	2.93059206
2.96000004	0.17629911	2.93589973
3.00000000	0.16960210	2.94080377
3.03999996	0.16314387	2.94533420
3.07999992	0.15691775	2.94951940
3.11999989	0.15091695	2.95338535
3.15999985	0.14513472	2.95695639
3.19999981	0.13956435	2.96025491
3.23999977	0.13419917	2.96330118
3.27999973	0.12903264	2.96611476
3.31999969	0.12405825	2.96871305
3.35999966	0.11926965	2.97111273
3.39999962	0.11466056	2.97332883
3.43999958	0.11022485	2.97537518
3.47999954	0.10595652	2.97726488
3.51999950	0.10184975	2.97900963
